"date","late.minutes","count"
2013-09-04,1,34
2013-09-04,2,31
2013-09-04,3,41
2013-09-04,4,28
2013-09-04,5,26
2013-09-04,6,28
2013-09-04,7,28
2013-09-04,8,23
2013-09-04,9,22
2013-09-04,10,21
2013-09-04,11,20
2013-09-04,12,29
2013-09-04,13,18
2013-09-04,14,20
2013-09-04,15,14
2013-09-04,16,25
2013-09-04,17,15
2013-09-04,18,11
2013-09-04,19,8
2013-09-04,20,22
2013-09-04,21,21
2013-09-04,22,10
2013-09-04,23,7
2013-09-04,24,6
2013-09-04,25,9
2013-09-04,26,4
2013-09-04,27,10
2013-09-04,28,9
2013-09-04,29,5
2013-09-04,30,6
2013-09-04,31,6
2013-09-04,32,3
2013-09-04,33,2
2013-09-04,34,8
2013-09-04,35,8
2013-09-04,36,5
2013-09-04,37,3
2013-09-04,38,3
2013-09-04,39,1
2013-09-04,40,2
2013-09-04,41,4
2013-09-04,42,1
2013-09-04,44,3
2013-09-04,45,1
2013-09-04,46,1
2013-09-04,47,2
2013-09-04,49,4
2013-09-04,50,1
2013-09-04,51,2
2013-09-04,52,4
2013-09-04,53,2
2013-09-04,54,1
2013-09-04,55,1
2013-09-04,56,1
2013-09-04,57,3
2013-09-04,59,2
2013-09-04,60,2
2013-09-04,61,2
2013-09-04,62,1
2013-09-04,63,1
2013-09-04,64,1
2013-09-04,65,1
2013-09-04,67,1
2013-09-04,68,2
2013-09-04,69,1
2013-09-04,70,3
2013-09-04,71,1
2013-09-04,72,1
2013-09-04,80,1
2013-09-04,82,1
2013-09-04,86,1
2013-09-04,87,1
2013-09-04,89,1
2013-09-04,96,1
2013-09-05,1,36
2013-09-05,2,45
2013-09-05,3,19
2013-09-05,4,37
2013-09-05,5,22
2013-09-05,6,18
2013-09-05,7,28
2013-09-05,8,11
2013-09-05,9,23
2013-09-05,10,11
2013-09-05,11,18
2013-09-05,12,9
2013-09-05,13,6
2013-09-05,14,9
2013-09-05,15,4
2013-09-05,16,7
2013-09-05,17,3
2013-09-05,18,4
2013-09-05,19,7
2013-09-05,20,3
2013-09-05,21,7
2013-09-05,22,2
2013-09-05,23,5
2013-09-05,24,4
2013-09-05,25,1
2013-09-05,26,2
2013-09-05,27,2
2013-09-05,28,3
2013-09-05,30,1
2013-09-05,31,1
2013-09-05,32,5
2013-09-05,33,1
2013-09-05,34,1
2013-09-05,35,1
2013-09-05,36,1
2013-09-05,38,1
2013-09-05,39,1
2013-09-05,40,1
2013-09-05,41,1
2013-09-05,43,1
2013-09-05,46,1
2013-09-05,49,3
2013-09-05,53,1
2013-09-05,69,1
2013-09-05,89,1
2013-09-06,1,32
2013-09-06,2,36
2013-09-06,3,21
2013-09-06,4,23
2013-09-06,5,21
2013-09-06,6,17
2013-09-06,7,15
2013-09-06,8,10
2013-09-06,9,10
2013-09-06,10,10
2013-09-06,11,5
2013-09-06,12,8
2013-09-06,13,5
2013-09-06,14,8
2013-09-06,15,4
2013-09-06,16,3
2013-09-06,17,2
2013-09-06,18,5
2013-09-06,19,2
2013-09-06,20,1
2013-09-06,22,5
2013-09-06,23,4
2013-09-06,24,1
2013-09-06,25,2
2013-09-06,26,2
2013-09-06,28,4
2013-09-06,29,1
2013-09-06,31,2
2013-09-06,33,1
2013-09-06,34,1
2013-09-06,35,1
2013-09-06,40,1
2013-09-06,42,1
2013-09-06,50,1
